Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Raúl Jiménez,mx MEX,FW,34-166,6,2,144.0,1.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,3.0,5.0,0.62,0.0,0.62,0.62,0.62,0.28,0.0,0.28,0.28,0.28,Matches
Jorge Cuenca,es ESP,DF,25-335,2,1,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Issa Diop,fr FRA,DF,28-282,1,1,85.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adama Traoré,es ESP,FW,29-266,5,0,148.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,6.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.03,0.28,0.31,0.03,0.31,Matches
Emile Smith Rowe,eng ENG,MF,25-082,7,0,131.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.8,2.0,8.0,10.0,0.69,0.0,0.69,0.69,0.69,0.54,0.02,0.56,0.54,0.56,Matches
Tom Cairney,sct SCO,MF,34-271,4,0,114.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.0,0.3,2.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.02,0.22,0.2,0.22,Matches
Kevin,br BRA,"FW,MF",22-287,4,0,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,5.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.1,0.06,0.1,Matches
Antonee Robinson,us USA,DF,28-071,3,0,64.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
Samuel Chukwueze,ng NGA,"FW,MF",26-149,2,0,35.0,0.4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.6,3.0,1.0,6.0,0.0,2.57,2.57,0.0,2.57,0.46,1.17,1.63,0.46,1.63,Matches
Jonah Kusi-Asare,se SWE,FW,18-106,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Benjamin Lecomte,fr FRA,GK,34-175,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Andreas Pereira,br BRA,MF,29-290,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Harrison Reed,eng ENG,MF,30-264,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.0,7,77,630.0,7.0,6.0,5.0,11.0,6.0,0.0,0.0,16.0,0.0,7.3,7.3,5.9,13.2,131.0,250.0,246.0,0.86,0.71,1.57,0.86,1.57,1.04,0.85,1.89,1.04,1.89,
Opponent Total,,,26.1,7,77,630.0,7.0,10.0,7.0,17.0,8.0,2.0,3.0,10.0,0.0,8.9,6.6,5.1,11.7,127.0,261.0,259.0,1.43,1.0,2.43,1.14,2.14,1.27,0.73,2.0,0.94,1.67,
