Jimmy Butler,17:11,4,8,.500,0,1,.000,6,6,1.000,1,2,3,2,0,0,0,2,14,11.9,+21,202510210LAL
Jonathan Kuminga,17:09,5,5,1.000,3,3,1.000,0,0,,1,3,4,1,1,0,0,2,13,14.0,+6,202510210LAL
Brandin Podziemski,17:05,0,2,.000,0,2,.000,0,0,,0,5,5,1,1,0,0,1,0,1.4,+15,202510210LAL
Stephen Curry,15:51,2,4,.500,1,3,.333,4,4,1.000,0,1,1,3,0,1,1,2,9,8.3,+3,202510210LAL
Draymond Green,14:13,2,2,1.000,1,1,1.000,0,1,.000,0,1,1,7,0,2,0,2,5,9.8,+25,202510210LAL
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,202510210LAL
Buddy Hield,13:01,4,8,.500,4,8,.500,0,0,,0,1,1,0,0,0,0,0,12,8.3,0,202510210LAL
Al Horford,9:47,1,4,.250,0,2,.000,0,0,,0,0,0,1,0,0,2,2,2,-2.5,-16,202510210LAL
Will Richard,6:32,2,2,1.000,1,1,1.000,0,0,,1,0,1,0,0,0,0,1,5,4.7,-12,202510210LAL
Gary Payton II,5:01,2,3,.667,0,1,.000,0,0,,0,1,1,1,0,0,2,0,4,1.7,-2,202510210LAL
Quinten Post,4:10,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,+5,202510210LAL
Gui Santos,,,,,,,,,,,,,,,,,,,,,,202510210LAL
Trayce Jackson-Davis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Pat Spencer,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Luka Dončić,40:59,17,27,.630,2,10,.200,7,10,.700,0,12,12,9,2,1,3,1,43,38.9,-8,202510210LAL
Austin Reaves,36:20,9,16,.563,1,5,.200,7,10,.700,1,4,5,9,2,0,5,5,26,20.4,-14,202510210LAL
Rui Hachimura,35:25,3,6,.500,3,6,.500,0,0,,0,4,4,3,0,0,1,2,9,7.5,-6,202510210LAL
Deandre Ayton,33:53,5,7,.714,0,0,,0,2,.000,2,4,6,0,0,1,4,3,10,4.4,-4,202510210LAL
Gabe Vincent,28:44,1,4,.250,1,4,.250,0,0,,0,0,0,1,1,0,0,3,3,1.1,-5,202510210LAL
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,202510210LAL
Marcus Smart,22:46,3,6,.500,0,3,.000,3,4,.750,0,0,0,0,1,0,3,4,9,2.0,+2,202510210LAL
Jake LaRavia,15:50,2,4,.500,1,2,.500,0,2,.000,2,1,3,0,0,0,0,1,5,3.5,-5,202510210LAL
Jaxson Hayes,14:07,2,3,.667,0,0,,0,0,,2,4,6,1,0,0,1,2,4,4.2,-6,202510210LAL
Jarred Vanderbilt,11:56,0,4,.000,0,2,.000,0,0,,0,3,3,0,1,0,2,0,0,-2.9,-4,202510210LAL
Bronny James,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Dalton Knecht,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Christian Koloko,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Luka Dončić,10:06,3,8,.375,1,5,.200,3,4,.750,0,5,5,1,0,0,2,0,10,5.4,-6,202510210LAL
Austin Reaves,8:54,2,5,.400,0,2,.000,2,3,.667,0,1,1,2,0,0,3,1,6,1.2,-1,202510210LAL
Rui Hachimura,8:06,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.1,-3,202510210LAL
Deandre Ayton,8:06,2,2,1.000,0,0,,0,0,,1,0,1,0,0,1,1,1,4,3.4,-3,202510210LAL
Gabe Vincent,4:57,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,-1,202510210LAL
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,202510210LAL
Marcus Smart,7:03,0,2,.000,0,2,.000,0,0,,0,0,0,0,1,0,1,1,0,-1.8,-5,202510210LAL
Jake LaRavia,5:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-5,202510210LAL
Jaxson Hayes,3:54,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,0,2,2.3,-3,202510210LAL
Jarred Vanderbilt,3:54,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,0.3,-3,202510210LAL
Bronny James,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Dalton Knecht,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Christian Koloko,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Luka Dončić,8:51,4,5,.800,1,1,1.000,3,3,1.000,0,2,2,3,1,1,0,0,12,14.5,+5,202510210LAL
Austin Reaves,8:01,3,4,.750,0,1,.000,0,0,,1,1,2,2,0,0,0,2,6,6.0,-3,202510210LAL
Rui Hachimura,8:51,2,3,.667,2,3,.667,0,0,,0,1,1,1,0,0,0,0,6,5.7,+5,202510210LAL
Deandre Ayton,8:38,0,0,,0,0,,0,2,.000,0,4,4,0,0,0,2,1,0,-2.0,+5,202510210LAL
Gabe Vincent,9:02,1,2,.500,1,2,.500,0,0,,0,0,0,0,1,0,0,1,3,2.6,+8,202510210LAL
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,202510210LAL
Marcus Smart,5:49,2,2,1.000,0,0,,1,2,.500,0,0,0,0,0,0,2,3,5,0.8,+4,202510210LAL
Jake LaRavia,4:17,0,0,,0,0,,0,2,.000,1,0,1,0,0,0,0,0,0,-0.1,+1,202510210LAL
Jaxson Hayes,3:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,0,202510210LAL
Jarred Vanderbilt,3:09,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-1.4,0,202510210LAL
Bronny James,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Dalton Knecht,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Christian Koloko,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Luka Dončić,18:57,7,13,.538,2,6,.333,6,7,.857,0,7,7,4,1,1,2,0,22,19.9,-1,202510210LAL
Austin Reaves,16:55,5,9,.556,0,3,.000,2,3,.667,1,2,3,4,0,0,3,3,12,7.2,-4,202510210LAL
Rui Hachimura,16:57,2,3,.667,2,3,.667,0,0,,0,2,2,1,0,0,1,1,6,4.6,+2,202510210LAL
Deandre Ayton,16:44,2,2,1.000,0,0,,0,2,.000,1,4,5,0,0,1,3,2,4,1.4,+2,202510210LAL
Gabe Vincent,13:59,1,2,.500,1,2,.500,0,0,,0,0,0,1,1,0,0,1,3,3.3,+7,202510210LAL
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,202510210LAL
Marcus Smart,12:52,2,4,.500,0,2,.000,1,2,.500,0,0,0,0,1,0,3,4,5,-1.0,-1,202510210LAL
Jake LaRavia,9:17,0,0,,0,0,,0,2,.000,1,0,1,0,0,0,0,1,0,-0.5,-4,202510210LAL
Jaxson Hayes,7:16,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,1,1,2,0.9,-3,202510210LAL
Jarred Vanderbilt,7:03,0,2,.000,0,1,.000,0,0,,0,1,1,0,1,0,1,0,0,-1.1,-3,202510210LAL
Bronny James,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Dalton Knecht,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Christian Koloko,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Luka Dončić,12:00,6,9,.667,0,3,.000,1,3,.333,0,3,3,1,1,0,1,0,13,9.9,-10,202510210LAL
Austin Reaves,9:37,0,3,.000,0,1,.000,1,2,.500,0,1,1,3,0,0,1,2,1,-0.9,-14,202510210LAL
Rui Hachimura,9:19,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-12,202510210LAL
Deandre Ayton,9:19,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,1,1,2,-0.4,-12,202510210LAL
Gabe Vincent,6:04,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-16,202510210LAL
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,202510210LAL
Marcus Smart,5:56,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,2.0,+6,202510210LAL
Jake LaRavia,2:23,2,2,1.000,1,1,1.000,0,0,,1,1,2,0,0,0,0,0,5,5.4,+4,202510210LAL
Jaxson Hayes,2:41,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,2.4,+2,202510210LAL
Jarred Vanderbilt,2:41,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+2,202510210LAL
Bronny James,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Dalton Knecht,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Christian Koloko,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202510210LAL
Luka Dončić,10:02,4,5,.800,0,1,.000,0,0,,0,2,2,4,0,0,0,1,8,9.1,+3,202510210LAL
Austin Reaves,9:48,4,4,1.000,1,1,1.000,4,5,.800,0,1,1,2,2,0,1,0,13,14.1,+4,202510210LAL
Rui Hachimura,9:09,1,2,.500,1,2,.500,0,0,,0,2,2,2,0,0,0,1,3,3.6,+4,202510210LAL
Deandre Ayton,7:50,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4,3.4,+6,202510210LAL
Gabe Vincent,8:41,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,+4,202510210LAL
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,202510210LAL
Marcus Smart,3:58,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,-3,202510210LAL
