Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Nicolò Savona,it ITA,"DF,MF",22-213,2,1,144.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
James Mcatee,eng ENG,"MF,FW",23-000,4,1,129.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,4.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.01,0.25,0.26,0.01,0.26,Matches
Ryan Yates,eng ENG,MF,27-331,4,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Jair Cunha,br BRA,DF,20-225,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Douglas Luiz,br BRA,MF,27-162,1,1,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
Nicolás Domínguez,ar ARG,MF,27-112,1,1,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Igor Jesus,br BRA,"FW,MF",24-235,6,0,106.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.25,0.04,0.29,0.25,0.29,Matches
Arnaud Kalimuendo,fr FRA,FW,23-271,5,0,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,4.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.46,0.02,0.47,0.46,0.47,Matches
Omari Hutchinson,eng ENG,"FW,MF",21-353,4,0,57.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.6,1.0,5.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.67,0.96,1.64,0.67,1.64,Matches
Jota Silva,pt POR,FW,26-078,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Zach Abbott,eng ENG,DF,19-158,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Taiwo Awoniyi,ng NGA,FW,28-067,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Willy Boly,ci CIV,DF,34-257,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Angus Gunn,sct SCO,GK,29-269,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
John,br BRA,GK,29-247,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.7,7,77,630.0,7.0,5.0,3.0,8.0,5.0,0.0,0.0,14.0,0.0,6.6,6.6,5.4,12.0,143.0,332.0,327.0,0.71,0.43,1.14,0.71,1.14,0.94,0.78,1.71,0.94,1.71,
Opponent Total,,,26.5,7,77,630.0,7.0,12.0,8.0,20.0,9.0,3.0,3.0,9.0,0.0,12.4,10.1,8.7,18.8,121.0,249.0,243.0,1.71,1.14,2.86,1.29,2.43,1.77,1.24,3.01,1.45,2.69,
