Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Noni Madueke,eng ENG,FW,23-222,5,4,304.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.8,1.1,18.0,9.0,44.0,0.0,0.0,0.0,0.0,0.0,0.09,0.25,0.34,0.09,0.34,Matches
Martin Ødegaard,no NOR,MF,26-305,6,4,203.0,2.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.6,10.0,26.0,5.0,0.0,0.44,0.44,0.0,0.44,0.06,0.2,0.27,0.06,0.27,Matches
Eberechi Eze,eng ENG,"MF,FW",27-111,5,3,312.0,3.5,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.7,1.8,9.0,18.0,21.0,0.0,0.58,0.58,0.0,0.58,0.31,0.2,0.51,0.31,0.51,Matches
Leandro Trossard,be BEL,FW,30-318,5,3,294.0,3.3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.3,0.9,7.0,8.0,29.0,0.0,0.31,0.31,0.0,0.31,0.19,0.1,0.29,0.19,0.29,Matches
Mikel Merino,es ESP,MF,29-118,6,3,245.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,6.0,10.0,8.0,0.37,0.0,0.37,0.37,0.37,0.12,0.04,0.16,0.12,0.16,Matches
Cristhian Mosquera,es ESP,DF,21-113,5,2,249.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Gabriel Martinelli,br BRA,FW,24-122,6,2,185.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,5.0,4.0,8.0,0.49,0.0,0.49,0.49,0.49,0.13,0.06,0.19,0.13,0.19,Matches
Ben White,eng ENG,DF,28-010,1,1,70.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.07,0.02,0.07,Matches
Ethan Nwaneri,eng ENG,MF,18-211,4,0,149.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,6.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.14,0.11,0.14,Matches
Myles Lewis-Skelly,eng ENG,DF,19-022,5,0,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Kai Havertz,de GER,FW,26-129,1,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Max Dowman,eng ENG,FW,15-291,2,0,29.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.43,0.43,0.43,Matches
Andre Annous,eng ENG,FW,17-295,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Kepa Arrizabalaga,es ESP,GK,31-015,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Piero Hincapié,ec ECU,DF,23-282,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jakub Kiwior,pl POL,"DF,MF",25-245,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Christian Nørgaard,dk DEN,MF,31-222,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.1,7,77,630.0,7.0,14.0,9.0,23.0,12.0,2.0,2.0,9.0,0.0,11.9,10.3,6.5,16.8,153.0,293.0,289.0,2.0,1.29,3.29,1.71,3.0,1.7,0.93,2.63,1.47,2.41,
Opponent Total,,,26.6,7,77,630.0,7.0,3.0,2.0,5.0,3.0,0.0,0.0,12.0,0.0,4.3,4.3,3.8,8.1,99.0,172.0,169.0,0.43,0.29,0.71,0.43,0.71,0.62,0.54,1.16,0.62,1.16,
