Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Nick Woltemade,de GER,FW,23-246,4,302.0,76.0,47.9,3.4,4,76.0,0,0,,0,1.75,4.0,0.0,4.0,1.19,2.02,5.1,2.5,2.6,0.78,0.51,Matches
Anthony Gordon,eng ENG,FW,24-236,4,269.0,67.0,42.7,3.0,4,67.0,1,0,,0,1.0,2.0,1.0,1.0,0.33,0.33,3.6,1.9,1.7,0.57,0.09,Matches
Anthony Elanga,se SWE,"FW,MF",23-174,7,329.0,47.0,52.2,3.7,3,79.0,1,4,23.0,0,1.29,3.0,5.0,-2.0,-0.55,-1.44,3.7,1.8,1.9,0.52,0.0,Matches
Harvey Barnes,eng ENG,"FW,MF",27-313,7,317.0,45.0,50.3,3.5,3,81.0,0,4,19.0,0,1.29,3.0,3.0,0.0,0.0,-0.29,5.8,1.5,4.3,1.22,1.41,Matches
Malick Thiaw,de GER,DF,24-071,4,273.0,68.0,43.3,3.0,3,88.0,2,1,10.0,3,1.0,4.0,3.0,1.0,0.33,0.33,4.1,2.9,1.2,0.41,-0.2,Matches
Lewis Miley,eng ENG,MF,19-170,5,169.0,34.0,26.8,1.9,1,90.0,1,4,20.0,2,1.2,1.0,1.0,0.0,0.0,-0.2,0.7,1.0,-0.3,-0.16,-0.93,Matches
William Osula,dk DEN,FW,22-075,7,164.0,23.0,26.0,1.8,1,90.0,1,6,12.0,0,1.29,1.0,3.0,-2.0,-1.1,-1.68,1.1,1.7,-0.7,-0.36,-1.2,Matches
Lewis Hall,eng ENG,DF,21-040,3,135.0,45.0,21.4,1.5,1,90.0,1,2,23.0,2,0.67,1.0,1.0,0.0,0.0,-0.18,0.4,0.9,-0.4,-0.3,-1.04,Matches
Joe Willock,eng ENG,MF,26-059,2,87.0,44.0,13.8,1.0,1,61.0,0,1,26.0,4,2.0,0.0,0.0,0.0,0.0,-0.17,0.4,0.4,0.0,0.01,-0.59,Matches
Jacob Ramsey,eng ENG,MF,24-143,2,60.0,30.0,9.5,0.7,1,45.0,0,1,15.0,0,0.5,1.0,1.0,0.0,0.0,-0.16,0.5,0.9,-0.4,-0.56,-1.19,Matches
Jamaal Lascelles,eng ENG,DF,31-341,2,21.0,11.0,3.3,0.2,0,,0,2,11.0,2,0.5,0.0,2.0,-2.0,-8.57,-9.01,0.1,0.5,-0.5,-2.0,-2.6,Matches
Emil Krafth,se SWE,DF,31-077,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Aaron Ramsdale,eng ENG,GK,27-157,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Park Seungsoo,kr KOR,MF,18-215,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,28.0,7,630.0,90.0,100.0,7.0,77,83.0,47,29,17.0,34,1.29,6.0,5.0,1.0,0.14,,8.4,4.7,3.6,0.52,,
Opponent Total,,,26.7,7,630.0,90.0,100.0,7.0,77,83.0,48,28,19.0,35,1.29,5.0,6.0,-1.0,-0.14,,4.7,8.4,-3.6,-0.52,,
