Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Vitaliy Mykolenko,ua UKR,DF,26-142,4,355.0,89.0,56.3,3.9,4,89.0,3,0,,0,1.75,7.0,6.0,1.0,0.25,-0.07,5.4,4.7,0.7,0.17,0.32,Matches
Tim Iroegbunam,eng ENG,MF,22-110,5,246.0,49.0,39.0,2.7,3,68.0,0,2,21.0,2,2.0,4.0,1.0,3.0,1.1,1.33,4.6,3.6,1.0,0.36,0.55,Matches
Thierno Barry,fr FRA,FW,22-362,7,211.0,30.0,33.5,2.3,2,54.0,0,5,21.0,0,1.57,3.0,2.0,1.0,0.43,0.21,2.5,3.3,-0.8,-0.32,-0.53,Matches
Carlos Alcaraz,ar ARG,"MF,FW",22-322,5,165.0,33.0,26.2,1.8,1,85.0,0,4,20.0,2,1.8,2.0,1.0,1.0,0.55,0.35,2.7,3.7,-1.0,-0.57,-0.81,Matches
Tyler Dibling,eng ENG,FW,19-220,3,60.0,20.0,9.5,0.7,1,45.0,0,2,8.0,2,1.33,0.0,1.0,-1.0,-1.5,-1.97,0.2,0.7,-0.6,-0.88,-1.01,Matches
Merlin Röhl,de GER,MF,23-105,1,25.0,25.0,4.0,0.3,0,,0,1,25.0,0,1.0,0.0,0.0,0.0,0.0,-0.3,0.5,0.0,0.5,1.79,1.83,Matches
Dwight McNeil,eng ENG,FW,25-330,1,20.0,20.0,3.2,0.2,0,,0,1,20.0,6,3.0,0.0,0.0,0.0,0.0,-0.3,0.4,0.9,-0.5,-2.33,-2.43,Matches
Séamus Coleman,ie IRL,FW,37-007,2,2.0,1.0,0.3,0.0,0,,0,2,1.0,5,3.0,0.0,0.0,0.0,0.0,-0.29,0.0,0.2,-0.2,-10.98,-11.04,Matches
Harrison Armstrong,eng ENG,FW,18-272,1,1.0,1.0,0.2,0.0,0,,0,1,1.0,2,3.0,0.0,0.0,0.0,0.0,-0.29,0.0,0.0,0.0,0.0,-0.03,Matches
Adam Aznou,ma MAR,DF,19-138,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Elijah Campbell,eng ENG,DF,21-077,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Youssef Chermiti,pt POR,FW,21-147,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Tom King,wls WAL,GK,30-223,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Tyler Onyango,eng ENG,MF,22-228,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Nathan Patterson,sct SCO,DF,24-002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Mark Travers,ie IRL,GK,26-153,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Harry Tyrer,eng ENG,GK,23-316,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,28.5,7,630.0,90.0,100.0,7.0,77,85.0,56,21,18.0,42,1.57,9.0,7.0,2.0,0.29,,9.7,9.5,0.2,0.03,,
Opponent Total,,,26.8,7,630.0,90.0,100.0,7.0,77,85.0,48,29,18.0,34,1.14,7.0,9.0,-2.0,-0.29,,9.5,9.7,-0.2,-0.03,,
