Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Jadon Sancho,eng ENG,FW,25-207,1,9.0,9.0,1.4,0.1,0,,0,1,9.0,2,1.0,0.0,0.0,0.0,0.0,0.14,0.3,0.0,0.3,3.19,3.78,Matches
Ross Barkley,eng ENG,MF,31-317,1,7.0,7.0,1.1,0.1,0,,0,1,7.0,0,3.0,0.0,0.0,0.0,0.0,0.14,0.2,0.0,0.2,2.61,3.18,Matches
Samuel Iling-Junior,eng ENG,DF,22-014,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Jamaldeen Jimoh,eng ENG,MF,19-016,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Travis Patterson,eng ENG,DF,20-012,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Sam Proctor,eng ENG,GK,18-301,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Triston Rowe,eng ENG,DF,19-153,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
James Wright,eng ENG,GK,20-320,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,28.4,7,630.0,90.0,100.0,7.0,77,81.0,47,31,20.0,32,1.29,6.0,7.0,-1.0,-0.14,,5.9,9.7,-3.8,-0.54,,
Opponent Total,,,27.3,7,630.0,90.0,100.0,7.0,77,81.0,47,29,18.0,34,1.29,7.0,6.0,1.0,0.14,,9.7,5.9,3.8,0.54,,
