Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Beto,gw GNB,FW,27-260,7,5,424.0,4.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.5,2.5,0.2,2.7,1.0,2.0,21.0,0.21,0.0,0.21,0.21,0.21,0.53,0.04,0.58,0.53,0.58,Matches
Vitaliy Mykolenko,ua UKR,DF,26-142,4,4,355.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,7.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.0,0.06,Matches
Tim Iroegbunam,eng ENG,MF,22-110,5,3,246.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.2,1.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches
Thierno Barry,fr FRA,FW,22-362,7,2,211.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,2.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.2,0.01,0.2,0.2,0.2,Matches
Carlos Alcaraz,ar ARG,"MF,FW",22-322,5,1,165.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.3,2.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.14,0.12,0.14,Matches
Tyler Dibling,eng ENG,FW,19-220,3,1,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Merlin Röhl,de GER,MF,23-105,1,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.1,0.26,0.36,0.1,0.36,Matches
Dwight McNeil,eng ENG,FW,25-330,1,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1,0.64,1.74,1.1,1.74,Matches
Séamus Coleman,ie IRL,FW,37-007,2,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Harrison Armstrong,eng ENG,FW,18-272,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Adam Aznou,ma MAR,DF,19-138,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Elijah Campbell,eng ENG,DF,21-077,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Youssef Chermiti,pt POR,FW,21-147,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tom King,wls WAL,GK,30-223,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tyler Onyango,eng ENG,MF,22-228,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nathan Patterson,sct SCO,DF,24-002,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mark Travers,ie IRL,GK,26-153,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Harry Tyrer,eng ENG,GK,23-316,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.5,7,77,630.0,7.0,9.0,7.0,16.0,8.0,1.0,1.0,18.0,0.0,9.7,8.9,7.4,16.4,111.0,244.0,241.0,1.29,1.0,2.29,1.14,2.14,1.39,1.06,2.45,1.28,2.34,
Opponent Total,,,26.8,7,77,630.0,7.0,7.0,5.0,12.0,6.0,1.0,2.0,15.0,0.0,9.5,8.1,5.7,13.8,96.0,265.0,264.0,1.0,0.71,1.71,0.86,1.57,1.36,0.81,2.17,1.16,1.97,
