Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Mats Wieffer,nl NED,DF,25-336,5,3,285.0,3.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.7,0.9,4.0,17.0,13.0,0.0,0.32,0.32,0.0,0.32,0.04,0.23,0.27,0.04,0.27,Matches
Brajan Gruda,de GER,"MF,FW",21-140,7,2,223.0,2.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,0.5,1.9,8.0,6.0,26.0,0.4,0.4,0.81,0.4,0.81,0.57,0.18,0.75,0.57,0.75,Matches
Matt O'Riley,dk DEN,MF,24-331,2,2,177.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.2,0.4,0.2,0.6,0.0,5.0,11.0,0.51,0.0,0.51,0.0,0.0,0.61,0.1,0.72,0.21,0.32,Matches
Jack Hinshelwood,eng ENG,MF,20-190,3,2,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
James Milner,eng ENG,MF,39-287,5,1,141.0,1.6,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.8,0.0,0.0,0.0,2.0,7.0,3.0,0.64,0.0,0.64,0.0,0.0,0.5,0.03,0.53,0.0,0.03,Matches
Stefanos Tzimas,gr GRE,"MF,FW",19-285,3,0,51.0,0.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,1.0,0.0,3.0,0.0,1.76,1.76,0.0,1.76,0.62,0.35,0.98,0.62,0.98,Matches
Diego Coppola,it ITA,DF,21-294,2,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Olivier Boscagli,fr FRA,DF,27-334,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Charalampos Kostoulas,gr GRE,FW,18-141,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jason Steele,eng ENG,GK,35-061,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tom Watson,eng ENG,MF,19-193,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.1,7,77,630.0,7.0,10.0,7.0,17.0,8.0,2.0,3.0,22.0,0.0,11.2,8.9,7.4,16.3,122.0,237.0,235.0,1.43,1.0,2.43,1.14,2.14,1.6,1.06,2.66,1.27,2.33,
Opponent Total,,,26.4,7,77,630.0,7.0,8.0,5.0,13.0,7.0,1.0,1.0,20.0,1.0,9.1,8.3,6.2,14.5,123.0,236.0,236.0,1.14,0.71,1.86,1.0,1.71,1.3,0.88,2.18,1.19,2.07,
