Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Jacob Bruun Larsen,dk DEN,"FW,MF",27-029,5,2,238.0,2.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,1.0,5.0,17.0,0.0,0.38,0.38,0.0,0.38,0.02,0.23,0.26,0.02,0.26,Matches
Oliver Sonne,pe PER,"DF,FW",24-342,3,1,104.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches
Axel Tuanzebe,cd COD,DF,27-338,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Armando Broja,al ALB,FW,24-038,3,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Zian Flemming,nl NED,"FW,MF",27-078,4,0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.46,0.2,0.66,0.46,0.66,Matches
Joe Worrall,eng ENG,DF,28-281,4,0,22.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Marcus Edwards,eng ENG,FW,26-319,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bashir Humphreys,eng ENG,DF,22-217,1,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ashley Barnes,eng ENG,"FW,MF",35-353,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lucas,br BRA,DF,24-208,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Aaron Ramsey,eng ENG,MF,22-270,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Max Weiß,de GER,GK,21-125,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.6,7,77,630.0,7.0,7.0,6.0,13.0,7.0,0.0,0.0,12.0,1.0,4.9,4.9,4.0,8.9,52.0,160.0,157.0,1.0,0.86,1.86,1.0,1.86,0.7,0.57,1.27,0.7,1.27,
Opponent Total,,,26.2,7,77,630.0,7.0,12.0,8.0,20.0,10.0,2.0,2.0,9.0,0.0,13.4,11.9,9.3,21.2,208.0,343.0,341.0,1.71,1.14,2.86,1.43,2.57,1.91,1.33,3.25,1.7,3.03,
