Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0
Emi Buendía,ar ARG,"MF,FW",28-297,6,2,299.0,3.3,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.7,0.7,0.4,1.1,11.0,20.0,13.0,0.3,0.3,0.6,0.3,0.6,0.2,0.12,0.33,0.2,0.33,Matches
Pau Torres,es ESP,DF,28-275,4,2,256.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,5.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Donyell Malen,nl NED,FW,26-282,7,2,234.0,2.6,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.7,0.7,0.2,0.9,5.0,7.0,16.0,0.77,0.0,0.77,0.77,0.77,0.29,0.08,0.36,0.29,0.36,Matches
Marco Bizot,nl NED,GK,34-222,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Amadou Onana,be BEL,MF,24-063,3,2,154.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches
Ian Maatsen,nl NED,DF,23-222,4,1,148.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,6.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.09,0.11,0.2,0.09,0.2,Matches
Harvey Elliott,eng ENG,"MF,FW",22-197,3,1,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,3.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches
Victor Lindelöf,se SWE,"MF,DF",31-093,3,0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Bradley Paul Burrowes,eng ENG,DF,17-228,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jadon Sancho,eng ENG,FW,25-207,1,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,Matches
Ross Barkley,eng ENG,MF,31-317,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,0.0,1.53,1.53,1.53,Matches
Samuel Iling-Junior,eng ENG,DF,22-014,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jamaldeen Jimoh,eng ENG,MF,19-016,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Travis Patterson,eng ENG,DF,20-012,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Sam Proctor,eng ENG,GK,18-301,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Triston Rowe,eng ENG,DF,19-153,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
James Wright,eng ENG,GK,20-320,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.4,7,77,630.0,7.0,6.0,6.0,12.0,6.0,0.0,0.0,13.0,1.0,5.9,5.9,4.6,10.5,112.0,277.0,273.0,0.86,0.86,1.71,0.86,1.71,0.85,0.66,1.5,0.85,1.5,
Opponent Total,,,27.3,7,77,630.0,7.0,7.0,4.0,11.0,6.0,1.0,1.0,15.0,1.0,9.7,8.9,7.4,16.3,103.0,195.0,194.0,1.0,0.57,1.57,0.86,1.43,1.39,1.05,2.44,1.28,2.33,
