Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Guido Rodríguez,ar ARG,MF,31-189,1,70.0,70.0,11.1,0.8,1,70.0,0,0,,5,0.0,0.0,1.0,-1.0,-1.29,0.16,0.3,0.7,-0.3,-0.42,0.25,Matches
Freddie Potts,eng ENG,MF,22-036,3,107.0,36.0,17.0,1.2,0,,0,3,36.0,3,0.33,1.0,3.0,-2.0,-1.68,-0.31,1.3,2.2,-0.9,-0.73,-0.1,Matches
Luis Guilherme,br BRA,"FW,MF",19-251,3,57.0,19.0,9.0,0.6,0,,0,3,19.0,1,0.33,0.0,1.0,-1.0,-1.58,-0.17,0.3,0.9,-0.5,-0.86,-0.24,Matches
Callum Marshall,nir NIR,FW,20-324,1,30.0,30.0,4.8,0.3,0,,0,1,30.0,2,0.0,0.0,1.0,-1.0,-3.0,-1.65,0.1,1.0,-0.8,-2.52,-1.97,Matches
Andy Irving,sct SCO,MF,25-158,4,27.0,7.0,4.3,0.3,0,,0,4,7.0,2,1.0,3.0,1.0,2.0,6.67,8.46,2.0,0.4,1.6,5.39,6.31,Matches
Igor,br BRA,DF,27-253,1,1.0,1.0,0.2,0.0,0,,0,1,1.0,3,1.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.64,Matches
Edson Álvarez,mx MEX,"DF,MF",27-359,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Łukasz Fabiański,pl POL,GK,40-183,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Oliver Scarles,eng ENG,MF,19-310,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
Squad Total,,,27.3,7,630.0,90.0,100.0,7.0,77,83.0,53,23,21.0,40,0.57,6.0,16.0,-10.0,-1.43,,6.6,11.1,-4.5,-0.64,,
Opponent Total,,,26.2,7,630.0,90.0,100.0,7.0,77,83.0,49,28,19.0,35,2.29,16.0,6.0,10.0,1.43,,11.1,6.6,4.5,0.64,,
