Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Jhon Arias,co COL,FW,28-027,7,359.0,51.0,57.0,4.0,4,74.0,1,3,21.0,0,0.29,3.0,6.0,-3.0,-0.75,1.24,3.4,4.7,-1.3,-0.32,0.35,Matches
Hwang Hee-chan,kr KOR,FW,29-265,6,277.0,46.0,44.0,3.1,4,64.0,0,2,11.0,1,0.33,2.0,4.0,-2.0,-0.65,1.13,1.9,4.7,-2.8,-0.9,-0.77,Matches
Jackson Tchatchoua,cm CMR,"DF,MF",24-034,6,358.0,60.0,56.8,4.0,3,81.0,2,3,38.0,0,0.33,4.0,8.0,-4.0,-1.01,0.65,4.3,4.2,0.1,0.02,1.13,Matches
Santiago Bueno,uy URU,DF,26-343,4,305.0,76.0,48.4,3.4,3,90.0,3,1,35.0,3,0.5,4.0,5.0,-1.0,-0.3,1.92,3.0,4.1,-1.1,-0.34,0.26,Matches
Sam Johnstone,eng ENG,GK,32-207,3,270.0,90.0,42.9,3.0,3,90.0,3,0,,4,0.67,2.0,3.0,-1.0,-0.33,1.67,2.2,3.2,-1.0,-0.34,0.22,Matches
Jean-Ricner Bellegarde,ht HAI,"MF,FW",27-113,7,255.0,36.0,40.5,2.8,3,54.0,0,4,23.0,0,0.29,2.0,9.0,-7.0,-2.47,-1.99,2.3,4.1,-1.8,-0.62,-0.27,Matches
Matt Doherty,ie IRL,DF,33-275,3,225.0,75.0,35.7,2.5,3,75.0,2,0,,2,0.33,0.0,5.0,-5.0,-2.0,-1.11,1.3,4.3,-3.1,-1.23,-1.19,Matches
Rodrigo Gomes,pt POR,"DF,MF",22-103,4,166.0,42.0,26.3,1.8,2,61.0,0,2,23.0,3,0.0,2.0,5.0,-3.0,-1.63,-0.46,2.1,2.2,-0.1,-0.04,0.58,Matches
Tolu Arokodare,ng NGA,FW,24-329,4,163.0,41.0,25.9,1.8,2,78.0,1,2,4.0,0,0.5,1.0,5.0,-4.0,-2.21,-1.24,2.2,1.9,0.3,0.15,0.84,Matches
David Møller Wolfe,no NOR,"MF,DF",23-178,4,145.0,36.0,23.0,1.6,2,58.0,0,2,15.0,2,0.25,1.0,5.0,-4.0,-2.48,-1.55,1.0,3.2,-2.2,-1.37,-1.17,Matches
Yerson Mosquera,co COL,DF,24-169,3,137.0,46.0,21.7,1.5,2,68.0,0,1,1.0,3,0.33,1.0,4.0,-3.0,-1.97,-0.88,1.7,1.8,-0.1,-0.08,0.5,Matches
Ki-Jana Hoever,nl NED,MF,23-273,2,106.0,53.0,16.8,1.2,2,53.0,0,0,,2,0.0,0.0,4.0,-4.0,-3.4,-2.54,0.5,2.8,-2.3,-1.94,-1.77,Matches
Fer López,es ESP,"MF,FW",21-147,4,105.0,26.0,16.7,1.2,1,45.0,0,3,20.0,3,0.0,2.0,4.0,-2.0,-1.71,-0.51,1.8,1.0,0.8,0.67,1.36,Matches
Sasa Kalajdzic,at AUT,FW,28-103,1,15.0,15.0,2.4,0.2,0,,0,1,15.0,1,0.0,1.0,0.0,1.0,6.0,7.46,0.5,0.1,0.4,2.17,2.7,Matches
Daniel Bentley,eng ENG,GK,32-097,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,26.9,7,630.0,90.0,100.0,7.0,77,78.0,41,35,24.0,28,0.29,5.0,14.0,-9.0,-1.29,,6.1,9.4,-3.3,-0.47,,
Opponent Total,,,27.0,7,630.0,90.0,100.0,7.0,77,78.0,45,32,16.0,31,2.43,14.0,5.0,9.0,1.29,,9.4,6.1,3.3,0.47,,
