Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Unnamed: 26_level_0
Jorge Cuenca,es ESP,DF,25-335,2,88.0,44.0,14.0,1.0,1,83.0,0,1,5.0,4,2.0,0.0,1.0,-1.0,-1.02,-0.69,0.5,1.1,-0.6,-0.62,-0.45,Matches
Issa Diop,fr FRA,DF,28-282,1,85.0,85.0,13.5,0.9,1,85.0,0,0,,2,0.0,1.0,2.0,-1.0,-1.06,-0.73,0.6,0.6,0.0,0.02,0.29,Matches
Adama Traoré,es ESP,FW,29-266,5,148.0,30.0,23.5,1.6,0,,0,5,30.0,2,0.8,2.0,4.0,-2.0,-1.22,-1.03,2.9,2.2,0.7,0.42,0.85,Matches
Emile Smith Rowe,eng ENG,MF,25-082,7,131.0,19.0,20.8,1.5,0,,0,7,19.0,0,1.14,3.0,1.0,2.0,1.37,2.28,2.8,1.3,1.5,1.01,1.57,Matches
Tom Cairney,sct SCO,MF,34-271,4,114.0,29.0,18.1,1.3,0,,0,4,29.0,3,1.75,3.0,3.0,0.0,0.0,0.52,1.2,1.6,-0.4,-0.35,-0.14,Matches
Kevin,br BRA,"FW,MF",22-287,4,89.0,22.0,14.1,1.0,0,,0,4,22.0,0,1.5,2.0,3.0,-1.0,-1.01,-0.68,1.5,0.9,0.5,0.53,0.89,Matches
Antonee Robinson,us USA,DF,28-071,3,64.0,21.0,10.2,0.7,0,,0,3,21.0,2,0.33,1.0,0.0,1.0,1.41,2.04,1.6,0.2,1.3,1.87,2.34,Matches
Samuel Chukwueze,ng NGA,"FW,MF",26-149,2,35.0,18.0,5.6,0.4,0,,0,2,18.0,1,0.0,1.0,3.0,-2.0,-5.14,-4.99,0.9,0.7,0.2,0.41,0.69,Matches
Jonah Kusi-Asare,se SWE,FW,18-106,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Benjamin Lecomte,fr FRA,GK,34-175,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Andreas Pereira,br BRA,MF,29-290,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Harrison Reed,eng ENG,MF,30-264,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Squad Total,,,28.0,7,630.0,90.0,100.0,7.0,77,80.0,43,34,22.0,29,1.14,8.0,11.0,-3.0,-0.43,,7.3,8.9,-1.7,-0.24,,
Opponent Total,,,26.1,7,630.0,90.0,100.0,7.0,77,80.0,46,33,20.0,30,1.57,11.0,8.0,3.0,0.43,,8.9,7.3,1.7,0.24,,
