game_date,game_id,team,quarter,player,url,mp,fg,fga,fg3,fg3a,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,fg_pct,ft_pct,fg3_pct
2024-10-25,202410250HOU,MEM,Q4,Scotty Pippen Jr.,https://www.basketball-reference.com/boxscores/202410250HOU.html,3.55,1,1,1,1,0,0,0,0,0,1,0,0,0,0,3,3.4,-1,1.000,,1.000
2024-10-25,202410250HOU,MEM,Q4,Jake LaRavia,https://www.basketball-reference.com/boxscores/202410250HOU.html,8.3,2,4,0,2,1,3,0,1,1,1,0,0,0,2,5,2.4,-4,.500,.333,.000
2024-10-25,202410250HOU,MEM,Q4,John Konchar,https://www.basketball-reference.com/boxscores/202410250HOU.html,9.43,0,0,0,0,1,2,1,2,3,1,1,0,1,1,1,2.2,-6,,.500,
2024-10-25,202410250HOU,MEM,Q4,Jaylen Wells,https://www.basketball-reference.com/boxscores/202410250HOU.html,6.75,1,7,0,2,1,2,1,0,1,0,0,0,0,1,3,-1.6,-1,.143,.500,.000
2024-10-25,202410250HOU,MEM,Q4,Jay Huff,https://www.basketball-reference.com/boxscores/202410250HOU.html,2.22,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.3,-2,,,
2024-10-25,202410250HOU,MEM,Q4,Brandon Clarke,https://www.basketball-reference.com/boxscores/202410250HOU.html,5.2,1,3,0,0,1,2,1,1,2,0,0,0,1,0,3,0.9,-5,.333,.500,
2024-10-25,202410250HOU,MEM,Q4,Yuki Kawamura,https://www.basketball-reference.com/boxscores/202410250HOU.html,3.57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7,-1,,,
2024-10-25,202410250HOU,HOU,Q1,Jabari Smith Jr.,https://www.basketball-reference.com/boxscores/202410250HOU.html,7.1,2,3,0,1,2,2,1,0,1,0,0,0,1,1,6,4.0,0,.667,1.000,.000
2024-10-25,202410250HOU,HOU,Q1,Jalen Green,https://www.basketball-reference.com/boxscores/202410250HOU.html,9.27,0,5,0,1,0,0,2,1,3,2,1,0,0,0,0,0.6,-3,.000,,.000
2024-10-25,202410250HOU,HOU,Q1,Alperen Şengün,https://www.basketball-reference.com/boxscores/202410250HOU.html,8.85,2,5,0,2,2,2,0,1,1,1,1,0,0,1,6,4.9,-2,.400,1.000,.000
2024-10-25,202410250HOU,HOU,Q1,Dillon Brooks,https://www.basketball-reference.com/boxscores/202410250HOU.html,8.33,2,4,1,2,2,2,1,0,1,0,0,0,0,1,7,5.3,+3,.500,1.000,.500
2024-10-25,202410250HOU,HOU,Q1,Fred VanVleet,https://www.basketball-reference.com/boxscores/202410250HOU.html,9.83,3,5,3,5,0,0,0,2,2,1,0,0,0,2,9,7.2,+3,.600,,.600
