game_date,game_id,team,quarter,player,url,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score
2020-08-15,202008150POR,POR,Q1,Damian Lillard,https://www.basketball-reference.com/boxscores/202008150POR.html,12.0,1,4,.250,1,4,.250,2,2,1.000,0,1,1,2,0,0,0,1,5,3.9
2020-08-15,202008150POR,POR,Q1,CJ McCollum,https://www.basketball-reference.com/boxscores/202008150POR.html,8.17,1,1,1.000,0,0,,4,4,1.000,0,1,1,1,0,0,1,0,6,5.7
2020-08-15,202008150POR,POR,Q1,Jusuf Nurkić,https://www.basketball-reference.com/boxscores/202008150POR.html,12.0,1,3,.333,1,2,.500,1,2,.500,1,7,8,1,2,0,1,1,4,6.0
2020-08-15,202008150POR,POR,Q1,Carmelo Anthony,https://www.basketball-reference.com/boxscores/202008150POR.html,8.17,1,2,.500,0,1,.000,4,4,1.000,0,1,1,0,0,0,1,0,6,4.3
2020-08-15,202008150POR,POR,Q1,Zach Collins,https://www.basketball-reference.com/boxscores/202008150POR.html,7.47,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,1,3,1.9
2020-08-15,202008150POR,POR,Q1,Gary Trent Jr.,https://www.basketball-reference.com/boxscores/202008150POR.html,4.53,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7
2020-08-15,202008150POR,POR,Q1,Hassan Whiteside,https://www.basketball-reference.com/boxscores/202008150POR.html,3.83,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4
2020-08-15,202008150POR,POR,Q1,Mario Hezonja,https://www.basketball-reference.com/boxscores/202008150POR.html,3.83,1,2,.500,1,2,.500,2,2,1.000,0,1,1,0,1,1,1,0,5,5.0
2020-08-15,202008150POR,POR,Q2,Damian Lillard,https://www.basketball-reference.com/boxscores/202008150POR.html,8.93,2,4,.500,2,4,.500,2,2,1.000,0,0,0,1,1,0,0,0,8,7.7
2020-08-15,202008150POR,POR,Q2,CJ McCollum,https://www.basketball-reference.com/boxscores/202008150POR.html,12.0,2,5,.400,0,2,.000,0,0,,0,0,0,0,1,0,0,0,4,2.3
2020-08-15,202008150POR,POR,Q2,Jusuf Nurkić,https://www.basketball-reference.com/boxscores/202008150POR.html,9.28,5,7,.714,1,1,1.000,0,2,.000,3,6,9,1,0,0,2,0,11,9.9
2020-08-15,202008150POR,POR,Q2,Carmelo Anthony,https://www.basketball-reference.com/boxscores/202008150POR.html,8.62,1,4,.250,0,1,.000,2,2,1.000,0,0,0,0,0,1,0,1,4,1.9
2020-08-15,202008150POR,POR,Q2,Gary Trent Jr.,https://www.basketball-reference.com/boxscores/202008150POR.html,12.0,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,1,1,1,0,-0.4
2020-08-15,202008150POR,POR,Q2,Hassan Whiteside,https://www.basketball-reference.com/boxscores/202008150POR.html,3.05,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.9
2020-08-15,202008150POR,POR,Q2,Wenyen Gabriel,https://www.basketball-reference.com/boxscores/202008150POR.html,3.38,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,0.0
2020-08-15,202008150POR,POR,Q2,Mario Hezonja,https://www.basketball-reference.com/boxscores/202008150POR.html,3.07,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.8
2020-08-15,202008150POR,POR,Q3,Damian Lillard,https://www.basketball-reference.com/boxscores/202008150POR.html,12.0,3,6,.500,2,5,.400,5,5,1.000,0,0,0,4,0,0,0,1,13,12.4
2020-08-15,202008150POR,POR,Q3,CJ McCollum,https://www.basketball-reference.com/boxscores/202008150POR.html,12.0,2,4,.500,1,2,.500,0,0,,0,2,2,0,0,0,1,1,5,2.2
2020-08-15,202008150POR,POR,Q3,Jusuf Nurkić,https://www.basketball-reference.com/boxscores/202008150POR.html,8.13,1,1,1.000,0,0,,0,0,,0,1,1,4,0,2,0,0,2,6.2
2020-08-15,202008150POR,POR,Q3,Carmelo Anthony,https://www.basketball-reference.com/boxscores/202008150POR.html,9.28,1,5,.200,0,1,.000,0,0,,0,0,0,0,0,0,1,1,2,-2.5
2020-08-15,202008150POR,POR,Q3,Gary Trent Jr.,https://www.basketball-reference.com/boxscores/202008150POR.html,6.58,1,2,.500,0,1,.000,0,0,,1,0,1,0,1,0,0,0,2,2.7
2020-08-15,202008150POR,POR,Q3,Hassan Whiteside,https://www.basketball-reference.com/boxscores/202008150POR.html,6.58,2,4,.500,0,0,,0,0,,1,2,3,0,1,0,0,1,4,3.9
2020-08-15,202008150POR,POR,Q3,Wenyen Gabriel,https://www.basketball-reference.com/boxscores/202008150POR.html,5.42,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,2,3,1.9
2020-08-15,202008150POR,POR,Q4,Damian Lillard,https://www.basketball-reference.com/boxscores/202008150POR.html,12.0,0,1,.000,0,1,.000,5,5,1.000,0,1,1,3,0,0,1,0,5,5.7
2020-08-15,202008150POR,POR,Q4,CJ McCollum,https://www.basketball-reference.com/boxscores/202008150POR.html,12.0,6,9,.667,2,3,.667,0,0,,0,0,0,0,1,1,0,0,14,11.8
2020-08-15,202008150POR,POR,Q4,Jusuf Nurkić,https://www.basketball-reference.com/boxscores/202008150POR.html,11.23,1,3,.333,0,0,,3,5,.600,2,1,3,0,0,0,2,4,5,0.6
2020-08-15,202008150POR,POR,Q4,Carmelo Anthony,https://www.basketball-reference.com/boxscores/202008150POR.html,11.68,2,4,.500,1,3,.333,4,4,1.000,0,2,2,1,0,0,0,0,9,8.3
2020-08-15,202008150POR,POR,Q4,Gary Trent Jr.,https://www.basketball-reference.com/boxscores/202008150POR.html,12.0,1,2,.500,1,1,1.000,1,2,.500,0,2,2,1,3,1,0,0,4,7.6
2020-08-15,202008150POR,POR,Q4,Hassan Whiteside,https://www.basketball-reference.com/boxscores/202008150POR.html,0.77,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
2020-08-15,202008150POR,POR,Q4,Wenyen Gabriel,https://www.basketball-reference.com/boxscores/202008150POR.html,0.32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
