player,elo,rank
Skylar Mays,1496.6388412592348,732
Lance Stephenson,1496.6152891393094,733
Oso Ighodaro,1496.596966752945,734
Brad Wanamaker,1496.5698702793425,735
Treveon Graham,1496.5283019490926,736
DeAndre Jordan,1496.523126998747,737
Ky Bowman,1496.5065498578092,738
A.J. Lawson,1496.5050964715758,739
Marcus Garrett,1496.4754821818894,740
Ibou Badji,1496.45484263185,741
Maxi Kleber,1496.4180233706631,742
Jamaree Bouyea,1496.3917726809243,743
Patrick Baldwin Jr.,1496.3831531307715,744
Georges Niang,1496.305183026603,745
Wenyen Gabriel,1496.296720822713,746
Mario Hezonja,1496.2594601115093,747
Melvin Frazier,1496.1813054882207,748
Wayne Ellington,1496.142422834796,749
Justin Jackson,1496.1108620117784,750
Malik Williams,1496.1050291048234,751
Ignas Brazdeikis,1496.1034579902196,752
Keaton Wallace,1496.0841006880494,753
Matthew Dellavedova,1496.0792602794786,754
Jerome Robinson,1496.0699241648858,755
Hunter Tyson,1496.0610207926422,756
Facundo Campazzo,1495.9982616081022,757
Isaac Jones,1495.944636829131,758
Kylor Kelley,1495.9238092182825,759
Edmond Sumner,1495.8677845521072,760
Dominick Barlow,1495.8349097139019,761
Lindy Waters III,1495.810046003339,762
Justin Robinson,1495.7817513620985,763
Michael Carter-Williams,1495.779064292382,764
Chandler Hutchison,1495.7683878715575,765
Juancho Hernangomez,1495.6979958952725,766
Saben Lee,1495.6144554161283,767
Wes Iwundu,1495.5893999772316,768
Damyean Dotson,1495.5850535591194,769
Trevor Ariza,1495.4682967015788,770
Ausar Thompson,1495.4642367946683,771
Kobe Brown,1495.4485719691647,772
Jordan Miller,1495.416987615969,773
Ryan Arcidiacono,1495.4074999219397,774
Lamar Stevens,1495.3579680404946,775
Greg Brown III,1495.2737551128007,776
Tim Frazier,1495.2648431802672,777
Keljin Blevins,1495.2579898252109,778
Solomon Hill,1495.2394303857427,779
PJ Dozier,1495.20475835553,780
Gary Clark,1495.1634021488826,781
Javonte Green,1495.162929469689,782
Dariq Whitehead,1495.156466727161,783
Allen Crabbe,1494.996097659453,784
Kent Bazemore,1494.9893689919686,785
Keifer Sykes,1494.9853648437647,786
Justise Winslow,1494.9695458963174,787
Wendell Moore Jr.,1494.9048680012677,788
AJ Griffin,1494.7555863519588,789
Rodney McGruder,1494.720232601262,790
DeAndre' Bembry,1494.7130057511283,791
Oshae Brissett,1494.7117034653404,792
Moussa Diabate,1494.6715405186276,793
Luka Samanic,1494.6508600177137,794
Mouhamadou Gueye,1494.6445157310889,795
Isaiah Thomas,1494.5895199198362,796
Alfonzo McKinnie,1494.5261830283948,797
Khem Birch,1494.5256666652144,798
Victor Oladipo,1494.502346562655,799
Rajon Rondo,1494.4913947396653,800
Kendrick Nunn,1494.44179202112,801
Terrance Ferguson,1494.4354374431339,802
Timmy Allen,1494.4147910839174,803
Mark Williams,1494.405139386218,804
Jericho Sims,1494.331692443271,805
Terance Mann,1494.3122515178202,806
Colby Jones,1494.290467167241,807
Elijah Hughes,1494.2715100128144,808
Patty Mills,1494.2614546360005,809
Semi Ojeleye,1494.242920661379,810
Zavier Simpson,1494.20301416316,811
Armoni Brooks,1494.1885430216983,812
Drew Timme,1494.1692313746523,813
Trent Forrest,1494.1473188558043,814
Jett Howard,1494.1353884605974,815
Orlando Robinson,1494.0007648675592,816
Thanasis Antetokounmpo,1494.000740314043,817
Usman Garuba,1493.8975212859702,818
Tyson Etienne,1493.801956781755,819
Maurice Harkless,1493.7506519400295,820
Guerschon Yabusele,1493.7451325142542,821
Yuta Watanabe,1493.6795926597654,822
Aron Baynes,1493.6480641718315,823
Reggie Bullock,1493.6446203067499,824
Frank Ntilikina,1493.6219313443291,825
Duane Washington Jr.,1493.6043835582736,826
Carmelo Anthony,1493.549928920209,827
Shake Milton,1493.514797007071,828
Justin Holiday,1493.4667953635421,829
Rodney Hood,1493.4502999917067,830
Jamal Cain,1493.2556973152055,831
TyTy Washington Jr.,1493.2058105102649,832
Keion Brooks Jr.,1493.194825498738,833
Colin Castleton,1493.0685960944998,834
Bruno Fernando,1493.0005017021067,835
James Johnson,1492.9954068073848,836
Ja'Kobe Walter,1492.9462859788368,837
Pelle Larsson,1492.9277877880495,838
Zeke Nnaji,1492.8996876706722,839
Jaylen Martin,1492.8332439062053,840
Tomas Satoransky,1492.8102068984886,841
Svi Mykhailiuk,1492.8058947150582,842
Dalano Banton,1492.8052598834327,843
Dalton Knecht,1492.7999989716986,844
Vince Williams Jr.,1492.7275343546944,845
Danuel House Jr.,1492.70467356644,846
Chasson Randle,1492.679091443592,847
John Wall,1492.6331690360582,848
Matas Buzelis,1492.6236799828857,849
Jared Butler,1492.606806934758,850
Landry Shamet,1492.596749610085,851
Frank Jackson,1492.526888904511,852
Trey Lyles,1492.5162542214644,853
Moses Brown,1492.4923168974085,854
Troy Brown Jr.,1492.4791823410967,855
Marcus Bagley,1492.4646756913,856
Tony Snell,1492.404520569361,857
Justin Minaya,1492.3806732124062,858
Glenn Robinson III,1492.3544303695355,859
Dalen Terry,1492.305516631552,860
Javon Freeman-Liberty,1492.2823171560972,861
Nathan Mensah,1492.1248675132042,862
Eugene Omoruyi,1492.0649408142783,863
Joshua Primo,1492.0122338081196,864
Jaylen Nowell,1492.0068336883517,865
Timothe Luwawu-Cabarrot,1491.9247397211666,866
Taj Gibson,1491.9165157829325,867
Josh Jackson,1491.861149455062,868
Taylor Hendricks,1491.7555572313465,869
Isaac Okoro,1491.719744302581,870
Markieff Morris,1491.5284924683242,871
Jarrett Culver,1491.414825619445,872
Olivier-Maxence Prosper,1491.3984373389612,873
Jacob Gilyard,1491.3800423682817,874
Ben McLemore,1491.2919351502142,875
Bryn Forbes,1491.1829653033226,876
Admiral Schofield,1491.1446307743124,877
Russell Westbrook,1491.0721047044383,878
Bones Hyland,1490.9349822612485,879
Reece Beekman,1490.9119400206932,880
Justin Champagnie,1490.8765332088233,881
CJ Elleby,1490.8145610419115,882
Ron Holland,1490.8110990866523,883
Andrew Wiggins,1490.6226634601646,884
Vit Krejci,1490.559632583174,885
Tosan Evbuomwan,1490.553999912692,886
Kira Lewis Jr.,1490.541401929002,887
D.J. Augustin,1490.4655239484282,888
Andre Drummond,1490.3968806575447,889
Anthony Gill,1490.3400971787569,890
James Bouknight,1490.3183184726345,891
Sekou Doumbouya,1490.1094862345642,892
Kris Murray,1490.0934493990462,893
Marcus Sasser,1490.081452534897,894
Micah Potter,1490.041073548927,895
Ben Sheppard,1489.8554711918894,896
Hamidou Diallo,1489.8529378461556,897
Naji Marshall,1489.788474679002,898
Eric Paschall,1489.6759937786167,899
Stanley Johnson,1489.4802924576336,900
Nic Claxton,1489.3597759823067,901
Jalen Hood-Schifino,1489.3276234822183,902
P.J. Tucker,1489.3137726613668,903
Damian Jones,1489.2710195153118,904
Grant Williams,1489.2646894752354,905
Andrew Nembhard,1489.2044189388503,906
Kessler Edwards,1489.1087390907646,907
Nassir Little,1488.9148656084485,908
Romeo Langford,1488.9067223643563,909
Dennis Smith Jr.,1488.878543663349,910
Antonio Reeves,1488.7905109472497,911
Andre Jackson Jr.,1488.7819284415036,912
Tim Hardaway Jr.,1488.5220859748717,913
Simone Fontecchio,1488.4931043063534,914
Bojan Bogdanovic,1488.4553741394684,915
Jae'Sean Tate,1488.312944724283,916
JaMychal Green,1488.2706139964052,917
Bismack Biyombo,1488.2206448302354,918
Damion Baugh,1488.2169666501752,919
Avery Bradley,1488.018768670806,920
Jaden Hardy,1487.9056405646252,921
Tristan Da Silva,1487.8477199125741,922
Keita Bates-Diop,1487.6935613003077,923
Jamison Battle,1487.6332909041932,924
Adem Bona,1487.1596427848376,925
Daishen Nix,1487.1545550783007,926
Evan Fournier,1487.0925021395233,927
Quentin Grimes,1487.016072342317,928
Harrison Barnes,1486.729629752253,929
Isaiah Roby,1486.6165124802603,930
Chris Duarte,1486.4779256272582,931
Spencer Dinwiddie,1486.454065498434,932
Josh Richardson,1486.3892362233123,933
Jaime Jaquez Jr.,1486.2834573745477,934
Rayan Rupert,1486.135616899764,935
Ricky Council IV,1486.085116531835,936
Reggie Jackson,1485.9201776175894,937
Marcus Morris,1485.9066702613607,938
Malachi Flynn,1485.832620788296,939
Julian Champagnie,1485.574308593659,940
Johnny Davis,1485.5086775710508,941
Tristan Thompson,1485.3386003743558,942
Cam Thomas,1485.2538427053073,943
Dwayne Bacon,1484.969227593036,944
Miles Bridges,1484.872588720862,945
P.J. Washington,1484.7900716731335,946
Tyrese Martin,1484.7850211832706,947
Gary Harris,1484.3248158659007,948
Kyle Filipowski,1484.2539410584,949
Caleb Houstan,1484.1143188274887,950
AJ Johnson,1483.9247078481305,951
Austin Rivers,1483.821767843468,952
Deni Avdija,1483.737999346247,953
Rui Hachimura,1483.7185540236112,954
Doug McDermott,1483.6625634764373,955
GG Jackson II,1483.5457689763587,956
Cory Joseph,1483.5038685950483,957
Caleb Martin,1483.3864268141206,958
Jonathan Mogbo,1483.3661486176275,959
Toumani Camara,1483.2359267885288,960
Trey Jemison,1483.0084783936609,961
Collin Sexton,1482.6561941577284,962
Aleksej Pokusevski,1482.5399324944942,963
Haywood Highsmith,1482.5169311230657,964
Precious Achiuwa,1482.4292731891114,965
Noah Clowney,1482.3207339770474,966
Anthony Black,1482.1317407166896,967
Cody Martin,1481.6767121540552,968
Josh Christopher,1481.6482007165425,969
Ryan Dunn,1481.6074338361861,970
Kevin Knox,1481.4851542081444,971
Chuma Okeke,1481.1997508029792,972
Garrett Temple,1481.1961667651503,973
Coby White,1481.1309917461513,974
Gary Trent Jr.,1481.1119383529901,975
Tre Mann,1480.5050397448076,976
Jordan Nwora,1480.4867306029587,977
De'Andre Hunter,1480.391182065303,978
JT Thor,1480.232930303815,979
Drew Eubanks,1480.1090317311289,980
Dennis Schroder,1480.0553676101335,981
Elfrid Payton,1480.0195110485504,982
Trendon Watford,1479.9403555371975,983
Jordan Clarkson,1479.7847181356092,984
Johnny Juzang,1479.7546435396366,985
Isaiah Livers,1479.2346067797916,986
Max Christie,1479.1576815209312,987
Vasilije Micic,1478.9883206204377,988
Marvin Bagley III,1478.9379322633752,989
Brandon Boston Jr.,1478.8841976118288,990
Garrison Mathews,1478.790359196007,991
Stephon Castle,1478.2916968386771,992
Jalen McDaniels,1478.2455291675112,993
R.J. Hampton,1478.125374015862,994
Bryce McGowens,1478.0245084538665,995
Zaccharie Risacher,1477.8419714491597,996
Jamal Shead,1477.7616381281568,997
Zach Collins,1477.7231132870957,998
Blake Wesley,1477.7089969902063,999
Terrence Ross,1477.6065509929913,1000
KJ Simpson,1477.5705286318766,1001
Justin Edwards,1477.3755817083659,1002
Jeremiah Robinson-Earl,1477.3426754622499,1003
Eric Gordon,1476.7901892682937,1004
Isaiah Stewart,1476.719823724299,1005
Saddiq Bey,1476.5566652085845,1006
Anfernee Simons,1476.3398039690771,1007
Cedi Osman,1476.2006858934992,1008
Julian Strawther,1475.8742295466047,1009
Jeff Green,1475.0338217965295,1010
DaQuan Jeffries,1474.7259417232567,1011
Kevin Porter Jr.,1474.5813396057729,1012
Brice Sensabaugh,1474.2606458106602,1013
Peyton Watson,1474.2234293696433,1014
Jerami Grant,1474.2122034820284,1015
Jalen Green,1473.9141850449737,1016
Jalen Wilson,1473.6941739500835,1017
Gabe Vincent,1473.6634575247247,1018
Darius Bazley,1473.5872807039111,1019
Jabari Smith Jr.,1473.4058698695942,1020
Jabari Walker,1472.984875628852,1021
Kyshawn George,1472.9134505495495,1022
Ish Smith,1472.8642145134584,1023
Terry Rozier,1472.4060294929345,1024
Dillon Brooks,1472.1434678327412,1025
Tidjane Salaun,1472.0544110717954,1026
David Roddy,1470.4574850430774,1027
Brandon Miller,1470.2797189891241,1028
Torrey Craig,1470.2225324816359,1029
Amir Coffey,1469.8209933065366,1030
Cody Williams,1469.0515837626158,1031
Theo Maledon,1468.3259549373633,1032
Bruce Brown,1468.1097658097524,1033
Devin Vassell,1467.7643180412545,1034
Alex Sarr,1467.279477990258,1035
James Wiseman,1466.5346188122169,1036
Lonnie Walker IV,1465.9219034005837,1037
Cam Reddish,1465.468847529686,1038
Davion Mitchell,1464.6855619166581,1039
KJ Martin,1464.451003394971,1040
Ochai Agbaji,1464.3560525422185,1041
Jordan Hawkins,1464.2241386436806,1042
Shaedon Sharpe,1463.7686217787514,1043
Bennedict Mathurin,1463.366170794176,1044
Taurean Prince,1462.8635132978707,1045
Yves Missi,1462.7205658138264,1046
Isaiah Collier,1461.481335005746,1047
RJ Barrett,1459.6421387878477,1048
Scoot Henderson,1459.028932213159,1049
Nick Richards,1458.4087885108875,1050
Ayo Dosunmu,1458.3390797824684,1051
Jeremy Sochan,1457.4435958599956,1052
Ziaire Williams,1455.8327468343896,1053
Kelly Oubre Jr.,1455.632280450084,1054
Keon Johnson,1454.6815465722698,1055
Malaki Branham,1454.5395621327748,1056
Nick Smith Jr.,1454.324029225696,1057
Gradey Dick,1453.9538047621897,1058
Josh Green,1453.8676507715684,1059
Jaden Ivey,1452.7365674282794,1060
Patrick Williams,1452.3023495764319,1061
Keldon Johnson,1448.882766926874,1062
Jordan Poole,1448.0392269901051,1063
Corey Kispert,1447.1608586653363,1064
Killian Hayes,1444.1879288398425,1065
Keyonte George,1443.3245550524707,1066
Bub Carrington,1438.8473321676538,1067
Bilal Coulibaly,1435.5967968676716,1068
Kyle Kuzma,1428.2424723827173,1069
